p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
8.109298158567025e-288,-8.75697105457256,0.019,0.893,2.2624130932586145e-283,AREG
2.199587197447572e-211,3.487550317891958,0.977,0.545,6.13662832215898e-207,CFD
3.820702064528283e-206,1.7310551941689747,1,0.998,1.0659376689827458e-201,SRGN
2.074053482978629e-177,5.353158375366167,0.818,0.085,5.786401812162077e-173,JUN
2.858142399100031e-158,4.8370184208189375,0.772,0.083,7.973931479249176e-154,MARCKS
6.048851100145711e-148,-3.9079161744816355,0.077,0.663,1.687568968429652e-143,SELL
1.2152708114580481e-130,-1.989178096882248,0.439,0.918,3.390484036886808e-126,MPO
5.80204895732047e-130,1.8610102194948643,1,0.997,1.618713638602838e-125,MALAT1
7.670097505538554e-128,1.7610827424009492,0.939,0.763,2.1398805030702014e-123,EMB
1.058595578751928e-127,-3.4590858308098635,0.101,0.638,2.953375805160004e-123,RPL13AP20
4.003389507708466e-122,2.133570716647987,0.872,0.542,1.1169056387555848e-117,CAT
1.561450414239746e-121,1.3941637293005624,0.968,0.851,4.3562905106874674e-117,APLP2
5.0692771530693565e-120,-2.7613482798779208,0.193,0.71,1.4142776329348198e-115,TAPT1-AS1
3.117611964942589e-115,-2.9410797751898237,0.153,0.665,8.697825620993329e-111,TMEM70
1.305350633332696e-113,4.1397505563988535,0.65,0.09,3.641797731934889e-109,PLD3
4.06285678760216e-113,2.4673774476147012,0.872,0.554,1.1334964151731265e-108,CTSG
2.1028300613683314e-108,2.240479096039677,0.93,0.78,5.866685588211507e-104,HSPA5
8.915924044672196e-108,2.2795747651176166,0.812,0.401,2.487453649223096e-103,ZFR
2.4646732596767247e-105,3.1610316617198095,0.682,0.141,6.876191927172094e-101,LGALS3
7.155721229586198e-100,2.7819658148330397,0.796,0.381,1.9963746658422534e-95,NEAT1
1.095415894618688e-98,6.8584897614635265,0.532,0.021,3.0561008043966776e-94,DEFB1
8.714839173705235e-98,-7.433043187905382,0.009,0.381,2.4313529810720235e-93,THBS1
6.906296403533999e-96,2.992739666182928,0.706,0.247,1.9267876336219504e-91,VMP1
6.9205172013124645e-96,1.6116988402752628,0.922,0.74,1.9307550939941646e-91,UBC
1.3041884065999148e-92,-0.7855075523649626,0.98,0.994,3.638555235573102e-88,RPS29
1.788669772349587e-92,-1.2817625268513768,0.721,0.92,4.990209797878113e-88,RPS14P3
1.7103953033263386e-91,-3.887343811954227,0.031,0.42,4.771831856750152e-87,RPSAP9
2.8921403151591383e-90,-1.1773401477357144,0.822,0.954,8.06878226526248e-86,PCNP
5.5049843009517056e-90,2.912996955936272,0.667,0.215,1.5358355701225164e-85,SESN3
1.5922451047832883e-88,2.007237227403831,0.815,0.47,4.442204617834896e-84,PLEK
3.1234189361281406e-88,-2.419434607881757,0.213,0.675,8.714026489903899e-84,SAMSN1
8.423521470763613e-86,-4.553251826456892,0.02,0.373,2.3500782551283403e-81,PDE4B
1.5477878397531622e-85,5.500722636367907,0.494,0.03,4.318173294127347e-81,HOXA9
1.5762596501789952e-84,-5.4823423083944025,0.008,0.34,4.397606798034378e-80,CD48
1.5344574757546928e-83,-0.7434940215472867,0.97,0.99,4.2809829116080175e-79,RPL41
2.0123117586505423e-83,-2.7897908716418502,0.137,0.567,5.614148575459148e-79,HIST1H1D
4.815636653431291e-82,-2.8672150391483626,0.121,0.538,1.3435144699407958e-77,RPL13AP6
7.528146260923557e-79,-2.324695243157804,0.175,0.604,2.1002775253350632e-74,GPR183
3.6883518851390745e-78,2.422901694635622,0.673,0.264,1.0290132924349504e-73,SCPEP1
4.498129789040381e-77,3.825107774125065,0.497,0.056,1.2549332298443758e-72,LMNA
8.187857116661447e-75,-0.732461666441127,0.963,0.992,2.284330256977377e-70,RPS23
1.2278421904150974e-74,-0.6863452590235681,0.975,0.995,3.42555692703908e-70,RPS14
1.142788746914559e-73,-6.332417404291174,0.006,0.293,3.188266325016928e-69,LOC100996385
6.48803008276293e-70,-5.508355103026501,0.007,0.284,1.81009551279003e-65,APP
1.2956810622524662e-69,-0.9436920451238993,0.84,0.942,3.6148205955781556e-65,RPL13AP5
5.230416780084515e-69,-2.2433561743447514,0.222,0.622,1.4592339774757789e-64,RPS18P9
7.294921239000394e-69,-3.1256790695643497,0.105,0.49,2.03521007646872e-64,HBB
7.9936481162380215e-68,-1.7149372466237285,0.181,0.601,2.2301478879492456e-63,EREG
8.921330301050974e-68,-0.7382909486231224,0.971,0.998,2.488961940690211e-63,ACTB
4.4528871117140096e-67,3.123111223392973,0.531,0.128,1.2423109752970916e-62,FUT4
3.1718678164195384e-66,-1.1226495239514875,0.74,0.928,8.84919402102887e-62,SNHG5
9.453839809779513e-66,-3.3994752127686647,0.065,0.394,2.6375267685303864e-61,PRTN3
1.6626817745273398e-65,1.8774983799516174,0.705,0.37,4.638715882753825e-61,CLEC11A
4.81846257940266e-65,-0.5081070148295428,0.998,1,1.3443028750275483e-60,RPS6
9.138154140459026e-65,-2.2719153301642985,0.11,0.478,2.549453623646664e-60,DSE
4.2947931141217385e-64,1.8447251189782223,0.747,0.418,1.198204330908824e-59,BTG1
2.497731259730853e-63,-1.183578114669832,0.597,0.862,6.9684204415231065e-59,RPLP0P2
7.260046872540241e-63,-1.7816465086283737,0.26,0.647,2.025480476970002e-58,RPL19P12
1.9723241840639086e-61,-0.5988473320946746,0.968,0.99,5.502587241119898e-57,RPS24
4.3381639027492506e-61,-2.609449070431867,0.078,0.409,1.2103043472280134e-56,KLF9
7.917283180590516e-61,2.958818941016564,0.515,0.139,2.2088428345529484e-56,ATP8B4
1.8430395190340262e-60,-0.5742340133349355,0.981,1,5.14189595415303e-56,PTMA
2.7183502987151144e-60,-0.7302869401505805,0.911,0.981,7.583925498385297e-56,RPS21
9.401878367588799e-60,-2.218169846419478,0.119,0.473,2.623030045773599e-55,IL6R
2.2343476767760076e-58,1.752086451502811,0.745,0.473,6.233606583437383e-54,IRF2BP2
1.723918814062211e-57,-2.1469940868611634,0.17,0.526,4.8095610993521625e-53,SAP30
1.0859753614839627e-56,-1.6575454114379509,0.3,0.665,3.0297626610041074e-52,TPM4
