NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY	GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY	Details ...	24	-0.8559374	-1.8832417	0.0	1.0	0.768	516	tags=21%, list=5%, signal=22%	
GOBP_POSITIVE_REGULATION_OF_MIRNA_METABOLIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_MIRNA_METABOLIC_PROCESS	Details ...	32	-0.83728176	-1.8607479	0.003816794	1.0	0.9	277	tags=13%, list=3%, signal=13%	
HP_GINGIVITIS	HP_GINGIVITIS	Details ...	22	-0.8640016	-1.8362738	0.010676157	1.0	0.972	533	tags=45%, list=5%, signal=48%	
GOCC_PHAGOPHORE_ASSEMBLY_SITE	GOCC_PHAGOPHORE_ASSEMBLY_SITE	Details ...	29	-0.79602885	-1.7997912	0.011952192	1.0	0.998	449	tags=17%, list=4%, signal=18%	
HP_GINGIVAL_BLEEDING	HP_GINGIVAL_BLEEDING	Details ...	30	-0.8094559	-1.789086	0.007168459	1.0	0.999	566	tags=30%, list=5%, signal=32%	
HP_XANTHOMATOSIS	HP_XANTHOMATOSIS	Details ...	17	-0.8388039	-1.7767386	0.013559322	1.0	1.0	629	tags=35%, list=6%, signal=37%	
HP_ABNORMALITY_OF_COMPLEMENT_SYSTEM	HP_ABNORMALITY_OF_COMPLEMENT_SYSTEM	Details ...	30	-0.8024527	-1.7736424	0.0	1.0	1.0	420	tags=23%, list=4%, signal=24%	
GOBP_INTEGRATED_STRESS_RESPONSE_SIGNALING	GOBP_INTEGRATED_STRESS_RESPONSE_SIGNALING	Details ...	46	-0.7527867	-1.7510202	0.010791367	1.0	1.0	221	tags=13%, list=2%, signal=13%	
GOBP_NEURON_PROJECTION_REGENERATION	GOBP_NEURON_PROJECTION_REGENERATION	Details ...	24	-0.77604747	-1.7370936	0.018726591	1.0	1.0	93	tags=8%, list=1%, signal=8%	
GOBP_SPLEEN_DEVELOPMENT	GOBP_SPLEEN_DEVELOPMENT	Details ...	28	-0.7699943	-1.7359977	0.013651877	1.0	1.0	597	tags=32%, list=6%, signal=34%	
GOMF_R_SMAD_BINDING	GOMF_R_SMAD_BINDING	Details ...	20	-0.84853363	-1.733002	0.009803922	1.0	1.0	87	tags=10%, list=1%, signal=10%	
GOMF_CHEMOKINE_RECEPTOR_BINDING	GOMF_CHEMOKINE_RECEPTOR_BINDING	Details ...	16	-0.81663734	-1.7327701	0.028673835	1.0	1.0	120	tags=25%, list=1%, signal=25%	
GOBP_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS	GOBP_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS	Details ...	36	-0.77854145	-1.7315584	0.01953125	1.0	1.0	556	tags=33%, list=5%, signal=35%	
GOCC_MICROBODY_LUMEN	GOCC_MICROBODY_LUMEN	Details ...	32	-0.76062965	-1.7304689	0.0034602077	1.0	1.0	691	tags=19%, list=7%, signal=20%	
GOMF_INTRAMEMBRANE_LIPID_TRANSPORTER_ACTIVITY	GOMF_INTRAMEMBRANE_LIPID_TRANSPORTER_ACTIVITY	Details ...	28	-0.7843036	-1.7236252	0.010600707	1.0	1.0	497	tags=21%, list=5%, signal=22%	
HP_HYPERURICEMIA	HP_HYPERURICEMIA	Details ...	15	-0.8368345	-1.7222278	0.017123288	1.0	1.0	23	tags=7%, list=0%, signal=7%	
GOBP_SENSORY_SYSTEM_DEVELOPMENT	GOBP_SENSORY_SYSTEM_DEVELOPMENT	Details ...	161	-0.6146981	-1.7220737	0.0	1.0	1.0	591	tags=16%, list=6%, signal=16%	
GOBP_GRANULOCYTE_ACTIVATION	GOBP_GRANULOCYTE_ACTIVATION	Details ...	30	-0.7663811	-1.7191957	0.014869888	1.0	1.0	340	tags=27%, list=3%, signal=27%	
GOBP_CALCIUM_ION_IMPORT	GOBP_CALCIUM_ION_IMPORT	Details ...	25	-0.77008224	-1.7187096	0.022058824	1.0	1.0	480	tags=20%, list=5%, signal=21%	
GOBP_LYSOSOMAL_LUMEN_ACIDIFICATION	GOBP_LYSOSOMAL_LUMEN_ACIDIFICATION	Details ...	18	-0.8088389	-1.7110249	0.026936026	1.0	1.0	703	tags=28%, list=7%, signal=30%	
GOBP_LIPID_TRANSLOCATION	GOBP_LIPID_TRANSLOCATION		34	-0.7684112	-1.7107127	0.003875969	1.0	1.0	497	tags=21%, list=5%, signal=22%	
GOBP_RETINA_DEVELOPMENT_IN_CAMERA_TYPE_EYE	GOBP_RETINA_DEVELOPMENT_IN_CAMERA_TYPE_EYE		65	-0.7013726	-1.7080946	0.007633588	1.0	1.0	332	tags=12%, list=3%, signal=13%	
GOCC_LYSOSOMAL_LUMEN	GOCC_LYSOSOMAL_LUMEN		54	-0.71854186	-1.7002212	0.0046948357	1.0	1.0	534	tags=31%, list=5%, signal=33%	
GOBP_RESPONSE_TO_AXON_INJURY	GOBP_RESPONSE_TO_AXON_INJURY		32	-0.7444207	-1.6995143	0.011764706	1.0	1.0	93	tags=9%, list=1%, signal=9%	
GOMF_PHOSPHATIDYLINOSITOL_3_4_BISPHOSPHATE_BINDING	GOMF_PHOSPHATIDYLINOSITOL_3_4_BISPHOSPHATE_BINDING		15	-0.8208936	-1.6983887	0.03202847	1.0	1.0	563	tags=27%, list=5%, signal=28%	
HP_SECONDARY_AMENORRHEA	HP_SECONDARY_AMENORRHEA		39	-0.7329105	-1.6973728	0.011278195	1.0	1.0	345	tags=15%, list=3%, signal=16%	
GOBP_RESPIRATORY_SYSTEM_PROCESS	GOBP_RESPIRATORY_SYSTEM_PROCESS		22	-0.7738844	-1.6965601	0.03717472	1.0	1.0	322	tags=27%, list=3%, signal=28%	
GOBP_OLIGOSACCHARIDE_METABOLIC_PROCESS	GOBP_OLIGOSACCHARIDE_METABOLIC_PROCESS		30	-0.7490205	-1.6938478	0.02631579	1.0	1.0	247	tags=13%, list=2%, signal=14%	
HP_TEMPORAL_CORTICAL_ATROPHY	HP_TEMPORAL_CORTICAL_ATROPHY		18	-0.8032743	-1.693735	0.038596492	1.0	1.0	93	tags=17%, list=1%, signal=17%	
GOBP_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS	GOBP_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS		17	-0.7971128	-1.6908934	0.04659498	1.0	1.0	277	tags=18%, list=3%, signal=18%	
GOBP_NEGATIVE_REGULATION_OF_BIOMINERAL_TISSUE_DEVELOPMENT	GOBP_NEGATIVE_REGULATION_OF_BIOMINERAL_TISSUE_DEVELOPMENT		15	-0.84214026	-1.6805726	0.024221454	1.0	1.0	341	tags=20%, list=3%, signal=21%	
GOBP_PROSTATE_GLAND_DEVELOPMENT	GOBP_PROSTATE_GLAND_DEVELOPMENT		24	-0.78928727	-1.6772639	0.026402641	1.0	1.0	281	tags=25%, list=3%, signal=26%	
GOBP_PERK_MEDIATED_UNFOLDED_PROTEIN_RESPONSE	GOBP_PERK_MEDIATED_UNFOLDED_PROTEIN_RESPONSE		20	-0.8282837	-1.6772386	0.023529412	1.0	1.0	221	tags=20%, list=2%, signal=20%	
GOBP_COMPLEMENT_ACTIVATION	GOBP_COMPLEMENT_ACTIVATION		17	-0.81216496	-1.6747074	0.042207792	1.0	1.0	420	tags=29%, list=4%, signal=31%	
GOBP_OUTFLOW_TRACT_MORPHOGENESIS	GOBP_OUTFLOW_TRACT_MORPHOGENESIS		30	-0.7248135	-1.6744615	0.033333335	1.0	1.0	458	tags=20%, list=4%, signal=21%	
HP_ACQUIRED_ABNORMAL_HAIR_PATTERN	HP_ACQUIRED_ABNORMAL_HAIR_PATTERN		16	-0.8098361	-1.6681193	0.030201342	1.0	1.0	607	tags=25%, list=6%, signal=27%	
HP_SHORT_CLAVICLES	HP_SHORT_CLAVICLES		21	-0.7775244	-1.6680654	0.0072727273	1.0	1.0	117	tags=10%, list=1%, signal=10%	
GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM		22	-0.7958753	-1.6661369	0.024054984	1.0	1.0	75	tags=14%, list=1%, signal=14%	
GOBP_REGULATION_OF_LEUKOCYTE_ADHESION_TO_VASCULAR_ENDOTHELIAL_CELL	GOBP_REGULATION_OF_LEUKOCYTE_ADHESION_TO_VASCULAR_ENDOTHELIAL_CELL		16	-0.8265534	-1.665712	0.029220778	1.0	1.0	223	tags=25%, list=2%, signal=26%	
GOBP_REGULATION_OF_MEMBRANE_LIPID_DISTRIBUTION	GOBP_REGULATION_OF_MEMBRANE_LIPID_DISTRIBUTION		38	-0.74111164	-1.6619155	0.03816794	1.0	1.0	497	tags=18%, list=5%, signal=19%	
HP_HYPERCHOLESTEROLEMIA	HP_HYPERCHOLESTEROLEMIA		34	-0.7388858	-1.6587391	0.008230452	1.0	1.0	873	tags=32%, list=8%, signal=35%	
GOBP_VACUOLE_ORGANIZATION	GOBP_VACUOLE_ORGANIZATION		189	-0.5706164	-1.6563396	0.0	1.0	1.0	1004	tags=23%, list=10%, signal=25%	
GOMF_AMINO_ACID_BINDING	GOMF_AMINO_ACID_BINDING		16	-0.7950844	-1.651575	0.05263158	1.0	1.0	19	tags=6%, list=0%, signal=6%	
GOBP_SECRETORY_GRANULE_ORGANIZATION	GOBP_SECRETORY_GRANULE_ORGANIZATION		45	-0.71850526	-1.6513315	0.016129032	1.0	1.0	79	tags=4%, list=1%, signal=4%	
GOBP_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT	GOBP_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT		48	-0.7137907	-1.6484259	0.007843138	1.0	1.0	556	tags=27%, list=5%, signal=28%	
GOBP_CEREBELLAR_PURKINJE_CELL_LAYER_DEVELOPMENT	GOBP_CEREBELLAR_PURKINJE_CELL_LAYER_DEVELOPMENT		17	-0.78477174	-1.6474999	0.045901638	1.0	1.0	332	tags=12%, list=3%, signal=12%	
GOBP_UROGENITAL_SYSTEM_DEVELOPMENT	GOBP_UROGENITAL_SYSTEM_DEVELOPMENT		27	-0.76482075	-1.647463	0.022222223	1.0	1.0	281	tags=22%, list=3%, signal=23%	
GOBP_STRIATED_MUSCLE_ADAPTATION	GOBP_STRIATED_MUSCLE_ADAPTATION		15	-0.79502296	-1.6466829	0.045454547	1.0	1.0	629	tags=27%, list=6%, signal=28%	
HP_MITRAL_STENOSIS	HP_MITRAL_STENOSIS		17	-0.79029614	-1.6417091	0.05204461	1.0	1.0	119	tags=12%, list=1%, signal=12%	
HP_ABNORMALITY_OF_LIPOPROTEIN_CHOLESTEROL_CONCENTRATION	HP_ABNORMALITY_OF_LIPOPROTEIN_CHOLESTEROL_CONCENTRATION		45	-0.7199967	-1.6391814	0.0043668123	1.0	1.0	629	tags=18%, list=6%, signal=19%	
GOBP_EMBRYO_IMPLANTATION	GOBP_EMBRYO_IMPLANTATION		30	-0.71427673	-1.6322335	0.05147059	1.0	1.0	286	tags=17%, list=3%, signal=17%	
GOMF_ATPASE_COUPLED_INTRAMEMBRANE_LIPID_TRANSPORTER_ACTIVITY	GOMF_ATPASE_COUPLED_INTRAMEMBRANE_LIPID_TRANSPORTER_ACTIVITY		15	-0.7808583	-1.6303759	0.069536425	1.0	1.0	967	tags=40%, list=9%, signal=44%	
GOBP_NEGATIVE_REGULATION_OF_BINDING	GOBP_NEGATIVE_REGULATION_OF_BINDING		27	-0.75562465	-1.6265228	0.037037037	1.0	1.0	70	tags=7%, list=1%, signal=7%	
GOBP_MAINTENANCE_OF_PROTEIN_LOCATION	GOBP_MAINTENANCE_OF_PROTEIN_LOCATION		44	-0.69128865	-1.6258341	0.03065134	1.0	1.0	307	tags=9%, list=3%, signal=9%	
GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY	GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY		85	-0.6341998	-1.625592	0.013636364	1.0	1.0	514	tags=19%, list=5%, signal=20%	
HP_MALE_HYPOGONADISM	HP_MALE_HYPOGONADISM		24	-0.7593922	-1.6247466	0.037037037	1.0	1.0	143	tags=13%, list=1%, signal=13%	
HP_HAND_TREMOR	HP_HAND_TREMOR		24	-0.7586767	-1.6233717	0.06569343	1.0	1.0	13	tags=4%, list=0%, signal=4%	
HP_ABNORMAL_LDL_CHOLESTEROL_CONCENTRATION	HP_ABNORMAL_LDL_CHOLESTEROL_CONCENTRATION		19	-0.77975416	-1.6202325	0.05357143	1.0	1.0	353	tags=16%, list=3%, signal=16%	
HP_HYPOLIPOPROTEINEMIA	HP_HYPOLIPOPROTEINEMIA		37	-0.7305974	-1.6182429	0.025	1.0	1.0	629	tags=16%, list=6%, signal=17%	
GOBP_PLASMA_MEMBRANE_PHOSPHOLIPID_SCRAMBLING	GOBP_PLASMA_MEMBRANE_PHOSPHOLIPID_SCRAMBLING		16	-0.78362614	-1.615634	0.039855074	1.0	1.0	324	tags=13%, list=3%, signal=13%	
HP_POSITIVE_ROMBERG_SIGN	HP_POSITIVE_ROMBERG_SIGN		20	-0.78750384	-1.614799	0.047272727	1.0	1.0	150	tags=10%, list=1%, signal=10%	
HP_ABNORMAL_CIRCULATING_CHOLESTEROL_CONCENTRATION	HP_ABNORMAL_CIRCULATING_CHOLESTEROL_CONCENTRATION		81	-0.6354485	-1.6146452	0.009345794	1.0	1.0	873	tags=20%, list=8%, signal=21%	
